content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c43,s1,0.011619;0.011316;0.013451;0.010684,----,1.000000;0.383652;0.559679;0.000000
c43,s10,0.010753;0.014144;0.012683;0.013214,----,0.150795;0.000000;1.000000;0.000279
c43,s11,0.007500;0.008934;0.007800;0.007111,----,1.000000;0.746630;0.517379;0.000000
c43,s12,0.013515;0.011526;0.012322;0.011368,----,1.000000;0.000000;0.783498;0.199454
c43,s13,0.012093;0.010970;0.013231;0.011099,----,1.000000;0.258802;0.841781;0.000000
c43,s14,0.007120;0.008190;0.007587;0.005831,----,0.945650;0.331144;1.000000;0.000000
c43,s15,0.017983;0.012169;0.014295;0.012449,----,1.000000;0.000000;0.511029;0.001053
c43,s16,0.006877;0.007264;0.008051;0.007689,----,0.850257;0.000000;1.000000;0.200326
c43,s17,0.006082;0.006776;0.008052;0.010530,----,0.190686;0.000000;1.000000;0.620090
c43,s18,0.008528;0.009270;0.009590;0.014573,----,1.000000;0.000000;0.600218;0.561794
c43,s19,0.005715;0.005828;0.006432;0.006046,----,1.000000;0.000000;0.905711;0.407994
c43,s2,0.007924;0.007101;0.006992;0.007109,----,1.000000;0.516671;0.573099;0.000000
c43,s20,0.012891;0.009756;0.007754;0.009921,----,1.000000;0.000000;0.505815;0.155803
c43,s21,0.011693;0.011014;0.008806;0.011459,----,1.000000;0.271335;0.164288;0.000000
c43,s22,0.009162;0.005991;0.011642;0.007246,----,1.000000;0.000000;0.731542;0.082361
c43,s23,0.005802;0.007103;0.012181;0.010033,----,0.256474;0.000000;1.000000;0.288870
c43,s24,0.008479;0.009644;0.009041;0.007598,----,1.000000;0.781542;0.810181;0.000000
c43,s25,0.010747;0.011006;0.011225;0.010434,----,0.827290;0.156141;1.000000;0.000000
c43,s26,0.009619;0.010752;0.010382;0.010152,----,0.424016;0.000000;1.000000;0.158089
c43,s27,0.007578;0.006887;0.007911;0.008259,----,1.000000;0.000000;0.827869;0.175134
c43,s28,0.012196;0.009532;0.009686;0.012036,----,1.000000;0.000000;0.650343;0.821829
c43,s29,0.009600;0.011148;0.010728;0.008878,----,0.924555;0.265963;1.000000;0.000000
c43,s3,0.009871;0.007039;0.011730;0.008521,----,0.863527;0.000000;1.000000;0.092113
c43,s30,0.011776;0.014365;0.008563;0.011245,----,1.000000;0.762536;0.000000;0.284259
c43,s31,0.009174;0.009133;0.008695;0.008155,----,1.000000;0.458259;0.741847;0.000000
c43,s32,0.008413;0.007838;0.006369;0.006899,----,1.000000;0.152884;0.094997;0.000000
c43,s33,0.005478;0.005832;0.007268;0.009664,----,0.828611;0.000000;1.000000;0.545391
c43,s34,0.013004;0.013874;0.006306;0.007448,----,1.000000;0.618943;0.127255;0.000000
c43,s35,0.016892;0.016622;0.017121;0.012598,----,0.715718;0.283043;1.000000;0.000000
c43,s36,0.007833;0.007825;0.007163;0.008187,----,1.000000;0.000000;0.688882;0.364879
c43,s37,0.013543;0.013777;0.006739;0.010302,----,1.000000;0.292575;0.000000;0.116685
c43,s38,0.015000;0.014904;0.030515;0.012655,----,0.648384;0.317810;1.000000;0.000000
c43,s39,0.006373;0.008440;0.019106;0.015230,----,0.077756;0.000000;1.000000;0.575578
c43,s4,0.006982;0.005854;0.005176;0.006262,----,1.000000;0.000000;0.475540;0.038647
c43,s40,0.012067;0.008612;0.009580;0.008899,----,1.000000;0.000000;0.835335;0.182330
c43,s41,0.009391;0.008434;0.007889;0.008438,----,1.000000;0.000000;0.612673;0.082141
c43,s42,0.012363;0.011377;0.010939;0.012225,----,1.000000;0.000000;0.722459;0.409039
c43,s43,0.011715;0.008964;0.008097;0.008667,----,0.353263;0.000000;1.000000;0.749918
c43,s44,0.043237;0.037850;0.039614;0.034799,----,1.000000;0.084101;0.344299;0.000000
c43,s45,0.006099;0.007353;0.008739;0.007142,----,0.643818;0.000000;1.000000;0.124640
c43,s46,0.007613;0.009991;0.007797;0.009217,----,0.985853;1.000000;0.211527;0.000000
c43,s47,0.017669;0.017307;0.015222;0.015695,----,1.000000;0.533476;0.713657;0.000000
c43,s48,0.014114;0.017592;0.014369;0.014884,----,0.844044;1.000000;0.778436;0.000000
c43,s49,0.005844;0.008381;0.007530;0.008718,----,0.195047;0.487991;1.000000;0.000000
c43,s5,0.017116;0.014031;0.013762;0.007270,----,1.000000;0.460279;0.759135;0.000000
c43,s50,0.010898;0.014495;0.009722;0.009747,----,1.000000;0.653566;0.564673;0.000000
c43,s6,0.013369;0.012277;0.010514;0.011573,----,1.000000;0.127590;0.448055;0.000000
c43,s7,0.016845;0.017519;0.013784;0.013842,----,1.000000;0.656176;0.495973;0.000000
c43,s8,0.005729;0.009177;0.008064;0.011872,----,0.188505;0.000000;0.765838;1.000000
c43,s9,0.015155;0.011707;0.008454;0.008350,----,1.000000;0.341379;0.507792;0.000000
