content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c46,s1,0.007270;0.006622;0.007053;0.006593;0.007385;0.006996;0.006485;0.006412;0.008186;0.006877;0.007141;0.006804;0.006818;0.006696;0.006572;0.006846,----,0.533480;0.587964;0.880384;0.082149;0.367098;0.645276;0.311838;0.000000;1.000000;0.578458;0.673056;0.640470;0.437755;0.724685;0.613462;0.695282
c46,s10,0.005369;0.004870;0.005322;0.005270;0.005086;0.004849;0.005062;0.005333;0.005784;0.005190;0.005313;0.005052;0.005296;0.005189;0.005598;0.005423,----,0.457773;0.338204;0.669264;0.152995;0.285227;0.116006;0.362126;0.292699;0.995203;0.734693;0.601656;0.000000;0.649212;1.000000;0.886805;0.682150
c46,s11,0.003010;0.003272;0.003271;0.003302;0.003360;0.003432;0.003279;0.003311;0.003309;0.003565;0.003174;0.003005;0.003129;0.003345;0.003262;0.003386,----,0.310191;0.886980;0.868267;0.627831;0.752305;0.679557;0.801909;0.754518;0.636580;0.745146;0.645237;0.273624;0.000000;1.000000;0.884525;0.909868
c46,s12,0.010351;0.009798;0.010525;0.010661;0.010292;0.010234;0.010494;0.010052;0.010318;0.010297;0.009954;0.010233;0.010229;0.009982;0.010162;0.010380,----,0.601650;0.490309;1.000000;0.613683;0.724959;0.689514;0.522950;0.320840;0.574949;0.571520;0.372134;0.000000;0.648821;0.462711;0.581023;0.661448
c46,s13,0.010714;0.011002;0.010544;0.010600;0.010905;0.010739;0.010797;0.010572;0.011219;0.011358;0.011130;0.010734;0.011254;0.011481;0.011733;0.010599,----,0.363248;0.656129;0.505374;0.459480;0.487677;0.166573;0.430158;0.158924;0.144451;0.621275;0.385860;0.198492;0.000000;0.885047;1.000000;0.315190
c46,s14,0.005787;0.005781;0.006011;0.005965;0.005844;0.005996;0.005473;0.006004;0.006132;0.005726;0.005733;0.005783;0.005796;0.006443;0.005939;0.005637,----,0.000000;0.445680;0.858964;0.701630;0.365904;0.367629;0.292782;0.293000;0.312939;0.148203;0.041885;0.165014;0.097003;1.000000;0.412515;0.164124
c46,s15,0.006068;0.006013;0.005898;0.006219;0.006652;0.005862;0.006227;0.006478;0.006283;0.006174;0.006398;0.006222;0.006138;0.006242;0.005919;0.006087,----,0.000000;0.717867;0.948233;0.294092;0.493162;0.332671;0.779559;0.582281;0.486149;0.796665;0.749532;0.234722;0.050249;1.000000;0.381507;0.475775
c46,s16,0.005201;0.005147;0.005304;0.005318;0.005365;0.005326;0.005102;0.005262;0.005202;0.005947;0.005347;0.005040;0.005444;0.005459;0.004910;0.005232,----,0.370647;0.494294;0.521945;0.643682;0.521502;0.197900;0.117118;0.328004;0.442977;0.834652;0.515459;0.000000;0.620791;1.000000;0.421148;0.483604
c46,s17,0.006370;0.006173;0.006179;0.006205;0.006286;0.006484;0.006353;0.006224;0.005949;0.005864;0.006572;0.007084;0.006310;0.006317;0.006215;0.006487,----,0.571199;0.403999;0.898417;0.000000;0.547149;0.734223;0.432890;0.056410;0.278299;0.128180;0.637147;0.714045;0.694652;1.000000;0.406626;0.445202
c46,s18,0.007596;0.006864;0.006503;0.006938;0.006727;0.006748;0.007464;0.006734;0.006952;0.007459;0.007191;0.006964;0.007123;0.006507;0.008378;0.009198,----,0.167287;0.269728;0.269786;0.081580;0.000000;0.273336;0.533925;0.106688;0.166715;0.391583;0.202647;0.085254;0.225406;0.348972;0.814141;1.000000
