content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c79,s1,0.027710;0.030313;0.028190;0.028222,----,0.463478;0.625767;0.000000;1.000000
c79,s11,0.015341;0.016768;0.014268;0.014415,----,0.404016;1.000000;0.175178;0.000000
c79,s15,0.026725;0.025507;0.028024;0.025902,----,1.000000;0.000000;0.529073;0.750857
c79,s16,0.030928;0.035074;0.041877;0.035903,----,0.000000;0.751468;1.000000;0.205646
c79,s18,0.026955;0.022523;0.025328;0.031452,----,0.398046;0.000000;0.424128;1.000000
c79,s20,0.031950;0.030435;0.028948;0.036763,----,0.397257;0.000000;0.205076;1.000000
c79,s22,0.018077;0.014834;0.022721;0.015805,----,0.384097;0.000000;1.000000;0.219747
c79,s23,0.013413;0.015149;0.016207;0.013975,----,0.000000;1.000000;0.799775;0.144158
c79,s25,0.022270;0.023054;0.022494;0.021693,----,1.000000;0.662633;0.842102;0.000000
c79,s26,0.017621;0.017807;0.014571;0.014464,----,0.798780;1.000000;0.139618;0.000000
c79,s28,0.025725;0.022010;0.015176;0.013706,----,1.000000;0.672256;0.071620;0.000000
c79,s29,0.030899;0.033775;0.030047;0.031176,----,0.498479;1.000000;0.000000;0.607358
c79,s3,0.025116;0.022475;0.022270;0.019382,----,1.000000;0.482184;0.697999;0.000000
c79,s30,0.010399;0.008430;0.008538;0.008060,----,1.000000;0.519364;0.000000;0.215279
c79,s31,0.026505;0.028793;0.031767;0.030737,----,0.000000;0.024860;0.609475;1.000000
c79,s32,0.016012;0.018168;0.017846;0.016147,----,0.000000;1.000000;0.727845;0.379287
c79,s34,0.021754;0.023464;0.023573;0.019656,----,0.495301;1.000000;0.781431;0.000000
c79,s35,0.024431;0.026148;0.019595;0.019978,----,1.000000;0.967927;0.000000;0.402523
c79,s36,0.021347;0.021093;0.021166;0.021415,----,0.632493;0.569626;1.000000;0.000000
c79,s37,0.026249;0.025585;0.023725;0.028060,----,0.745128;0.356017;0.000000;1.000000
c79,s38,0.021975;0.027007;0.038800;0.021258,----,0.000000;0.595832;1.000000;0.096543
c79,s39,0.027113;0.025250;0.023332;0.023731,----,1.000000;0.229220;0.000000;0.448958
c79,s40,0.021733;0.023704;0.016098;0.014720,----,0.741948;1.000000;0.347582;0.000000
c79,s41,0.016030;0.015899;0.018092;0.017109,----,0.000000;0.585425;0.989042;1.000000
c79,s42,0.028974;0.027308;0.027285;0.028090,----,1.000000;0.452927;0.000000;0.748867
c79,s47,0.017388;0.017660;0.019168;0.018635,----,0.000000;0.048909;0.644525;1.000000
c79,s49,0.024868;0.023578;0.026114;0.026845,----,0.364974;1.000000;0.000000;0.198074
c79,s50,0.027853;0.025486;0.026100;0.027851,----,0.693208;0.000000;0.160955;1.000000
c79,s8,0.018476;0.019328;0.021016;0.020197,----,0.000000;1.000000;0.737159;0.632741
c79,s9,0.019669;0.022936;0.025692;0.022971,----,0.000000;0.491944;1.000000;0.577746
c79,s10,0.017153;0.020426;0.021101;0.019157,----,0.000000;1.000000;0.920615;0.928549
c79,s12,0.014947;0.014658;0.016280;0.013783,----,0.356804;0.022367;1.000000;0.000000
c79,s13,0.020164;0.016205;0.020850;0.016696,----,0.961527;0.000000;1.000000;0.045199
c79,s14,0.019248;0.021931;0.018123;0.019259,----,0.499508;1.000000;0.000000;0.019004
c79,s17,0.011093;0.010141;0.012673;0.014837,----,0.279644;0.000000;0.647759;1.000000
c79,s19,0.020380;0.019919;0.019630;0.019131,----,1.000000;0.342594;0.123584;0.000000
c79,s2,0.023214;0.022696;0.021904;0.024177,----,1.000000;0.575862;0.000000;0.769828
c79,s21,0.015783;0.017106;0.026808;0.035873,----,0.000000;0.162018;0.642799;1.000000
c79,s24,0.010668;0.011666;0.012520;0.010505,----,0.141175;1.000000;0.870952;0.000000
c79,s27,0.020217;0.021064;0.022147;0.024640,----,0.071261;0.091777;0.000000;1.000000
c79,s33,0.023299;0.026378;0.026268;0.024962,----,0.000000;1.000000;0.273567;0.384454
c79,s4,0.024122;0.019094;0.015423;0.015702,----,1.000000;0.469641;0.000000;0.149704
c79,s43,0.019317;0.013483;0.014218;0.013912,----,1.000000;0.047864;0.041639;0.000000
c79,s44,0.060507;0.053383;0.057412;0.054250,----,1.000000;0.000000;0.689374;0.399625
c79,s45,0.014618;0.015907;0.016088;0.014502,----,0.006196;0.623657;1.000000;0.000000
c79,s46,0.022257;0.022404;0.025135;0.021154,----,0.305525;0.973320;1.000000;0.000000
c79,s48,0.022384;0.026572;0.022840;0.020870,----,0.000000;1.000000;0.326682;0.093097
c79,s5,0.020332;0.018823;0.022401;0.021467,----,0.233139;0.000000;1.000000;0.319975
c79,s6,0.019918;0.019835;0.017110;0.018211,----,1.000000;0.981589;0.000000;0.746262
c79,s7,0.025176;0.023278;0.022704;0.021037,----,0.798573;1.000000;0.103226;0.000000
