content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c58,s17,0.011694;0.011640;0.011613;0.011695;0.011681;0.011592;0.011546;0.011624;0.011639;0.011665;0.011591;0.011783;0.011628;0.011602;0.011547;0.011570;0.011579;0.011863;0.011521;0.011598;0.011580;0.011633;0.011524;0.011582;0.011459;0.011432;0.011555;0.011343;0.011505;0.011667;0.011409;0.011538;0.011453;0.011571;0.011464;0.011566;0.011217;0.011524;0.011548;0.011575;0.011733;0.011636;0.011472;0.011439;0.011490;0.011880;0.011897;0.011714;0.011604;0.011578;0.011564;0.011544;0.011630;0.011601;0.011569;0.011585;0.011621;0.011618;0.011588;0.011584;0.011576;0.011509;0.011632;0.011686,----,0.948815;0.746340;0.832410;0.047573;0.714270;0.887985;0.559373;1.000000;0.797109;0.574981;0.526489;0.741199;0.118432;0.709780;0.676264;0.804190;0.855259;0.886269;0.265041;0.000000;0.570289;0.759827;0.646556;0.865360;0.481931;0.627151;0.257396;0.413764;0.650886;0.868699;0.588419;0.828813;0.593336;0.920528;0.541707;0.583392;0.490772;0.712761;0.818564;0.830075;0.790169;0.639583;0.338506;0.282417;0.657461;0.982593;0.780004;0.815348;0.945874;0.715297;0.704763;0.538366;0.664888;0.706958;0.708922;0.879511;0.906803;0.799663;0.516612;0.701271;0.986449;0.766907;0.929226;0.890706
c58,s22,0.009994;0.009247;0.009233;0.009225;0.009225;0.009228;0.009220;0.009228;0.009884;0.009224;0.009214;0.009234;0.009220;0.009215;0.009209;0.009221;0.009720;0.009260;0.009217;0.009263;0.009188;0.009273;0.009215;0.008960;0.009152;0.009004;0.009198;0.009066;0.008888;0.008943;0.009203;0.009384;0.009388;0.009657;0.008972;0.009019;0.009000;0.009095;0.009332;0.009309;0.009224;0.009266;0.009168;0.009258;0.009055;0.008937;0.009183;0.009209;0.009443;0.009068;0.009327;0.009603;0.008759;0.009394;0.009226;0.009261;0.009312;0.009546;0.009477;0.008974;0.008933;0.009275;0.009212;0.009221,----,1.000000;0.758744;0.669278;0.431491;0.320497;0.682464;0.688348;0.675851;0.954315;0.309839;0.605944;0.694399;0.000000;0.700428;0.702767;0.781436;0.918685;0.609444;0.116143;0.229269;0.459568;0.697973;0.680201;0.730704;0.687036;0.583584;0.564164;0.391321;0.537505;0.502597;0.551866;0.698450;0.699374;0.761754;0.519721;0.358513;0.603343;0.506946;0.532426;0.720269;0.616389;0.555367;0.486240;0.560923;0.605938;0.546169;0.491694;0.570628;0.817339;0.391428;0.508978;0.628199;0.478370;0.823038;0.723978;0.748896;0.662488;0.805514;0.776455;0.491935;0.513556;0.721286;0.753625;0.707122
c58,s26,0.014322;0.014254;0.014463;0.014368;0.014376;0.014555;0.014170;0.014244;0.014353;0.014274;0.014166;0.014351;0.014324;0.014146;0.014816;0.014105;0.014392;0.014267;0.014334;0.014286;0.014274;0.014206;0.014512;0.014299;0.014330;0.014438;0.014305;0.014416;0.014374;0.014238;0.014582;0.014333;0.014273;0.014022;0.013947;0.014004;0.014286;0.014019;0.014466;0.014277;0.014238;0.014295;0.014450;0.014190;0.014210;0.014053;0.014245;0.013985;0.014012;0.013974;0.014349;0.014020;0.014191;0.013837;0.014040;0.014095;0.014247;0.013892;0.014288;0.014093;0.013979;0.014227;0.014009;0.014156,----,0.843645;0.704441;0.858679;0.426790;0.461859;0.998832;0.922730;0.916024;0.829611;0.000000;0.087317;0.443647;0.117897;0.616605;1.000000;0.771522;0.839922;0.343765;0.043207;0.573811;0.528209;0.562879;0.821972;0.800666;0.703829;0.974718;0.565527;0.568128;0.644730;0.688278;0.911030;0.788781;0.682656;0.700793;0.610001;0.572951;0.642396;0.349118;0.684152;0.651523;0.678796;0.842941;0.439143;0.480975;0.731090;0.563688;0.698524;0.584339;0.890591;0.780129;0.466888;0.450364;0.629530;0.406555;0.520889;0.748790;0.933932;0.377882;0.882982;0.809469;0.510518;0.657875;0.644847;0.855004
c58,s27,0.013472;0.013600;0.013723;0.013624;0.013803;0.013614;0.013567;0.013488;0.013350;0.013692;0.013772;0.013546;0.013622;0.013463;0.013614;0.013545;0.013593;0.013670;0.013490;0.013576;0.013593;0.013518;0.013710;0.013476;0.013349;0.013512;0.013524;0.013439;0.013476;0.013529;0.014036;0.013617;0.013480;0.013696;0.013423;0.013626;0.013536;0.013778;0.013768;0.013825;0.013830;0.013321;0.013573;0.013589;0.013642;0.013735;0.013949;0.013735;0.013808;0.013747;0.013542;0.013744;0.013582;0.013493;0.013734;0.013795;0.013697;0.014028;0.013846;0.013741;0.013779;0.013757;0.013795;0.013610,----,0.557352;0.677487;0.570356;0.154005;0.520487;0.784625;0.725092;0.762050;0.555739;0.746415;0.615308;0.331416;0.000000;0.562505;0.558206;0.626860;0.673845;0.821296;0.421096;0.442892;0.848109;0.484884;0.564706;0.521447;0.461760;0.753616;0.414127;0.577530;0.606922;0.615885;1.000000;0.405337;0.669730;0.635918;0.434436;0.743946;0.494497;0.703152;0.601849;0.755334;0.756265;0.269427;0.504230;0.524871;0.740615;0.684378;0.929229;0.645182;0.875356;0.950382;0.451319;0.826678;0.750475;0.600891;0.773155;0.885244;0.868606;0.890669;0.722577;0.751800;0.574113;0.507904;0.731298;0.593440
c58,s33,0.020693;0.020678;0.021293;0.020739;0.020884;0.020787;0.020852;0.020855;0.020714;0.020791;0.020114;0.020094;0.020937;0.020815;0.020797;0.020743;0.020786;0.020629;0.020567;0.019904;0.020739;0.020651;0.020783;0.020730;0.020424;0.020218;0.020844;0.020723;0.020703;0.020774;0.020752;0.020915;0.020870;0.020591;0.020685;0.020571;0.020703;0.020713;0.020692;0.020287;0.020376;0.020828;0.020161;0.020741;0.020659;0.020671;0.020789;0.021049;0.020394;0.020790;0.019688;0.020876;0.020703;0.020815;0.020695;0.020923;0.020654;0.020802;0.020748;0.020360;0.020279;0.020889;0.021064;0.021096,----,0.372877;0.471520;0.772824;0.439891;0.180086;0.324060;0.372519;0.654195;0.416468;0.364081;0.065203;0.137789;0.392948;0.428711;0.439737;0.418847;0.597772;0.412821;0.032842;0.097205;0.438636;0.383284;0.413637;0.453253;0.511915;0.549677;0.475274;0.340321;0.281936;0.426178;0.499435;0.471265;0.554730;0.057000;0.385570;0.400643;0.423967;0.488832;0.498813;0.221471;0.296959;0.266971;0.000000;0.254521;0.321871;0.474053;0.659380;1.000000;0.451300;0.418686;0.005482;0.665848;0.488284;0.407009;0.569816;0.431807;0.625289;0.545129;0.560970;0.239007;0.259338;0.615000;0.627056;0.662394
c58,s36,0.011288;0.011328;0.011237;0.011256;0.011409;0.011250;0.011289;0.011279;0.011245;0.011443;0.011137;0.011202;0.011174;0.011022;0.011250;0.011530;0.011211;0.011363;0.011218;0.011108;0.011091;0.011520;0.011504;0.011172;0.011283;0.011264;0.011278;0.011307;0.011297;0.011153;0.011343;0.011343;0.011306;0.011573;0.011340;0.011152;0.011204;0.011417;0.011270;0.011392;0.011391;0.011393;0.011082;0.011182;0.011249;0.010986;0.011273;0.011345;0.011448;0.011361;0.011111;0.011498;0.011028;0.011409;0.011765;0.011328;0.011331;0.011514;0.011370;0.011424;0.011151;0.011297;0.011345;0.011423,----,0.769018;0.848992;0.374839;0.165610;0.589801;0.669609;0.839376;0.939618;0.802747;0.764996;0.428782;0.440074;0.000000;0.667735;0.782124;0.951936;0.742281;0.764118;0.159844;0.405379;0.731359;0.971173;0.951471;0.871787;0.672592;0.945842;0.564031;0.631964;0.836821;0.742779;1.000000;0.823407;0.738860;0.829039;0.545579;0.416056;0.636964;0.945513;0.621481;0.794304;0.773580;0.626602;0.464158;0.467588;0.690528;0.635377;0.810947;0.730916;0.905174;0.635825;0.430737;0.747800;0.678049;0.792418;0.765105;0.543628;0.732205;0.701526;0.788736;0.803878;0.683197;0.552743;0.780503;0.844481
c58,s48,0.018509;0.018287;0.018265;0.018270;0.018273;0.018141;0.018339;0.018469;0.018881;0.018392;0.018131;0.017985;0.017999;0.018306;0.018309;0.018247;0.018686;0.018205;0.017485;0.018270;0.017954;0.018008;0.018185;0.018246;0.018248;0.017991;0.017564;0.018279;0.018652;0.018766;0.017969;0.018397;0.018295;0.017904;0.018010;0.017805;0.017638;0.017659;0.018120;0.017859;0.018108;0.018348;0.018817;0.018065;0.017738;0.017673;0.018501;0.018242;0.018092;0.017941;0.018117;0.017955;0.017969;0.018103;0.018056;0.018210;0.018451;0.018432;0.018129;0.017933;0.017945;0.018157;0.018121;0.018410,----,0.983339;0.902382;0.832289;0.721881;0.630485;0.793953;0.752002;0.963141;1.000000;0.531654;0.578774;0.571934;0.205958;0.804605;0.719324;0.740298;0.901641;0.691084;0.000000;0.311221;0.625878;0.727994;0.686028;0.826019;0.768147;0.762788;0.360791;0.599029;0.850853;0.907024;0.586594;0.780337;0.812280;0.652445;0.679154;0.612791;0.523356;0.546872;0.777111;0.670726;0.643270;0.900606;0.760249;0.597089;0.589841;0.599932;0.815848;0.814657;0.717459;0.638525;0.673235;0.770843;0.614917;0.662763;0.620483;0.807328;0.910814;0.730936;0.768902;0.976933;0.713870;0.600239;0.654876;0.887844
c58,s9,0.013828;0.013538;0.013629;0.013696;0.013908;0.013884;0.013716;0.014257;0.013805;0.013729;0.013837;0.013699;0.013790;0.013639;0.013522;0.014377;0.014091;0.013825;0.013748;0.013767;0.014080;0.014500;0.014731;0.014405;0.014147;0.013951;0.014168;0.014199;0.014395;0.014854;0.014694;0.014319;0.014143;0.013897;0.013983;0.014121;0.014013;0.014748;0.014184;0.013964;0.014173;0.014074;0.014220;0.014866;0.014704;0.014092;0.014222;0.014040;0.014220;0.014006;0.014301;0.014916;0.014721;0.014099;0.013742;0.014057;0.014448;0.014106;0.014272;0.014658;0.014555;0.014241;0.014277;0.014481,----,0.578021;0.445954;0.409291;0.217988;0.480580;0.663617;0.549493;0.794726;0.519308;0.243223;0.219636;0.349566;0.000000;0.566482;0.477783;0.692962;0.694791;0.578240;0.213477;0.162589;0.613501;0.878069;0.928307;0.766677;0.796527;0.659823;0.679865;0.523716;0.759247;0.973116;0.860669;0.732128;0.806265;0.563583;0.540055;0.556827;0.641801;0.941370;0.690528;0.715531;0.735130;0.564186;0.445256;0.716932;0.947261;0.619498;0.650443;0.831516;0.774017;0.531874;0.637432;0.972919;1.000000;0.596335;0.404327;0.638436;0.872471;0.644646;0.766555;0.855384;0.851353;0.567736;0.708496;0.834412
c58,s10,0.018351;0.017282;0.016307;0.017888;0.017669;0.017840;0.017185;0.017354;0.017769;0.017340;0.017602;0.017905;0.017552;0.017620;0.017834;0.017611;0.017277;0.018203;0.017197;0.017841;0.017138;0.017345;0.017845;0.017399;0.017724;0.017464;0.017049;0.017796;0.017961;0.017423;0.017621;0.017794;0.018044;0.017185;0.017817;0.017480;0.017347;0.017476;0.017082;0.017697;0.017933;0.018401;0.017163;0.016929;0.017570;0.017482;0.017242;0.017555;0.017951;0.017727;0.017559;0.017604;0.016897;0.017755;0.017590;0.018363;0.018082;0.017369;0.017591;0.017683;0.018202;0.017941;0.018063;0.017404,----,0.928710;0.547395;0.000000;0.722995;0.786400;0.739869;0.504018;0.520309;0.668850;0.234865;0.501936;0.873554;0.533878;0.461802;0.767345;0.810544;0.491563;0.755966;0.155319;0.356539;0.476370;0.445783;0.564957;0.655887;0.715820;0.562647;0.418591;0.422343;0.547971;0.505810;0.574602;0.892629;0.777188;0.431151;0.693205;0.367421;0.476421;0.332331;0.235282;0.612943;0.718375;0.778640;0.185222;0.355854;0.602747;0.441397;0.356601;0.496280;0.777965;0.421976;0.459966;0.476738;0.332496;0.755426;0.827335;1.000000;0.778228;0.423302;0.379383;0.295771;0.882435;0.842366;0.869228;0.552198
c58,s15,0.014888;0.015339;0.014699;0.015210;0.015437;0.014967;0.015065;0.015247;0.015144;0.015084;0.014543;0.015250;0.014771;0.014810;0.015114;0.014981;0.014921;0.014840;0.014778;0.015243;0.014820;0.014816;0.014808;0.015632;0.014609;0.015003;0.015299;0.014572;0.014738;0.014789;0.014792;0.015039;0.014964;0.014588;0.014723;0.014845;0.014815;0.014785;0.015163;0.014815;0.014746;0.015101;0.014879;0.015153;0.014638;0.015157;0.014883;0.014689;0.014768;0.014726;0.015042;0.015314;0.014931;0.015449;0.014941;0.014754;0.015618;0.015569;0.015188;0.015327;0.014778;0.014899;0.014807;0.015118,----,0.700919;0.773820;0.442859;0.276810;0.214787;0.710107;0.753583;0.958535;0.766726;0.183020;0.347851;0.975040;0.000000;0.558231;0.677896;0.578313;0.593563;0.552911;0.196783;0.105407;0.530513;0.614904;0.524997;0.909829;0.557301;0.612044;0.674475;0.386514;0.536898;0.490239;0.542592;0.614989;0.682872;0.503200;0.578356;0.467889;0.499335;0.515881;0.730596;0.516292;0.523744;0.816174;0.454415;0.454798;0.351033;0.810995;0.721702;0.580399;0.610607;0.634031;0.705612;0.550610;0.446422;0.889143;0.733676;0.599733;1.000000;0.993067;0.777072;0.738675;0.711757;0.704426;0.662432;0.811684
