content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c57,s1,0.023932;0.026510;0.024486;0.024719;0.025165;0.026452;0.025631;0.026416;0.023747;0.025484;0.024438;0.025490;0.024107;0.026795;0.024494;0.024563,----,0.087433;0.741479;0.466428;0.439845;0.618481;0.654545;0.506073;1.000000;0.000000;0.747105;0.611173;0.849599;0.515950;0.985601;0.244221;0.245893
c57,s10,0.019371;0.018851;0.018798;0.020090;0.019611;0.018389;0.018686;0.021163;0.021090;0.019254;0.019494;0.019388;0.020112;0.020408;0.019740;0.020342,----,0.413659;0.141053;0.138064;0.562025;0.603258;0.082879;0.000000;0.636055;1.000000;0.515855;0.505411;0.693210;0.779474;0.536222;0.609423;0.698873
c57,s11,0.015723;0.015160;0.016046;0.015389;0.015646;0.014866;0.015166;0.015387;0.014238;0.015398;0.015741;0.014558;0.015832;0.014627;0.015125;0.015079,----,0.775057;0.358991;1.000000;0.705385;0.630290;0.354995;0.468968;0.400361;0.000000;0.620172;0.605692;0.118116;0.663586;0.201981;0.439238;0.430042
c57,s12,0.020316;0.022064;0.021606;0.020782;0.020508;0.020950;0.020814;0.021404;0.021411;0.020903;0.020019;0.021486;0.020945;0.021128;0.019955;0.021114,----,0.284635;0.829120;0.641315;0.382916;0.568854;0.695950;0.555775;0.508704;0.829441;0.751950;0.000000;0.475151;0.487071;1.000000;0.220486;0.259787
c57,s13,0.013905;0.013938;0.013508;0.013458;0.014119;0.014304;0.013556;0.013210;0.014114;0.013497;0.014053;0.012600;0.013612;0.013254;0.013945;0.012974,----,0.823528;0.496062;0.549647;0.225704;1.000000;0.866592;0.903772;0.230272;0.962498;0.714977;0.686847;0.000000;0.746486;0.588154;0.769049;0.250849
c57,s14,0.022408;0.022438;0.023031;0.022497;0.022342;0.023565;0.024155;0.021858;0.022637;0.022676;0.022676;0.022100;0.021676;0.020992;0.021153;0.022386,----,0.676144;0.401563;0.794347;0.765335;0.482031;0.756789;1.000000;0.447246;0.470780;0.637013;0.550523;0.222180;0.354163;0.000000;0.165638;0.365229
c57,s15,0.022330;0.022255;0.021719;0.022239;0.021374;0.021788;0.021578;0.022586;0.021635;0.021728;0.021905;0.021407;0.023419;0.023152;0.021890;0.021971,----,0.495331;0.155159;0.027733;0.415807;0.006664;0.105733;0.000000;0.228706;0.304915;0.555918;0.206883;0.183512;0.723199;1.000000;0.475324;0.313926
c57,s16,0.036557;0.036034;0.035429;0.034646;0.035110;0.035298;0.036085;0.037819;0.035865;0.039657;0.037263;0.037035;0.035864;0.037000;0.036517;0.035329,----,0.076000;0.207392;0.220255;0.291254;0.000000;0.005198;0.280926;0.810790;0.189936;1.000000;0.421769;0.430005;0.216502;0.654411;0.529656;0.208549
c57,s17,0.013454;0.013313;0.013327;0.013205;0.013826;0.013204;0.013059;0.013890;0.014720;0.014211;0.014267;0.014414;0.013191;0.013101;0.013357;0.013245,----,0.493087;0.460359;1.000000;0.642821;0.629831;0.287485;0.000000;0.271990;0.587438;0.660729;0.594829;0.994888;0.200109;0.225093;0.765280;0.304722
c57,s18,0.029901;0.030088;0.030106;0.028907;0.029973;0.030369;0.028971;0.028593;0.029282;0.028871;0.028236;0.029001;0.029985;0.031146;0.028166;0.028172,----,0.538651;0.679115;0.591119;0.078471;0.659086;0.702370;0.342492;0.010006;0.399310;0.178629;0.238520;0.360840;0.727473;1.000000;0.122471;0.000000
c57,s19,0.023606;0.024658;0.024915;0.023810;0.023873;0.026333;0.024855;0.023996;0.024655;0.024892;0.024828;0.025061;0.024657;0.025130;0.024278;0.023890,----,0.260705;0.167769;0.298489;0.208785;0.340413;1.000000;0.441007;0.378917;0.562408;0.888762;0.528755;0.270341;0.618702;0.754107;0.388015;0.000000
c57,s2,0.024823;0.024525;0.024339;0.024051;0.024745;0.024463;0.023418;0.025046;0.024862;0.024802;0.024938;0.024755;0.024594;0.023855;0.024342;0.024534,----,0.799156;0.194803;0.476068;0.595125;0.699340;0.491016;0.332315;0.662024;0.815261;1.000000;0.937647;0.313788;0.000000;0.411594;0.620553;0.508829
c57,s20,0.029592;0.029609;0.028750;0.028741;0.029565;0.030103;0.028885;0.032246;0.029448;0.030714;0.032185;0.032802;0.030221;0.030295;0.030594;0.030326,----,0.349531;0.439480;0.319565;0.059156;0.253523;0.348385;0.000000;0.876282;0.205325;0.779262;1.000000;0.994023;0.599274;0.466730;0.738536;0.591121
c57,s21,0.018502;0.018460;0.018511;0.018611;0.018102;0.018318;0.020037;0.019492;0.019885;0.019558;0.020573;0.021016;0.020903;0.020399;0.020644;0.021128,----,0.185935;0.000000;0.108142;0.385224;0.026824;0.219769;0.723140;0.472840;0.473671;0.603030;1.000000;0.985929;0.945879;0.861046;0.993204;0.997069
c57,s22,0.012974;0.013404;0.013420;0.013377;0.013588;0.013619;0.013691;0.013368;0.014862;0.014238;0.013906;0.013464;0.014834;0.015802;0.014258;0.013434,----,0.076549;0.211821;0.288376;0.195884;0.148562;0.434409;0.274773;0.128565;0.642091;0.542606;0.250057;0.000000;0.637692;1.000000;0.592176;0.260220
c57,s23,0.017326;0.018032;0.018512;0.017885;0.017932;0.018124;0.018336;0.016927;0.016886;0.018064;0.017238;0.016937;0.017795;0.017122;0.017311;0.018028,----,0.403993;0.770600;1.000000;0.701774;0.569677;0.420884;0.793164;0.060143;0.000000;0.730514;0.336730;0.234241;0.439602;0.325565;0.560597;0.464103
c57,s24,0.012304;0.011706;0.012016;0.011890;0.012743;0.011917;0.012100;0.012806;0.011698;0.012856;0.011650;0.011609;0.012190;0.011947;0.011522;0.012800,----,0.746527;0.136894;0.319928;0.194774;0.587675;0.230972;0.347529;0.464261;0.127908;1.000000;0.412496;0.000000;0.415292;0.309009;0.301237;0.632923
c57,s25,0.028462;0.027163;0.027398;0.027058;0.028007;0.028346;0.028584;0.027939;0.028021;0.027764;0.027281;0.027307;0.026413;0.027216;0.026907;0.026979,----,0.813011;0.607037;0.880348;0.516133;0.691369;0.904785;0.890285;1.000000;0.531517;0.477193;0.440521;0.543714;0.000000;0.662460;0.472881;0.520237
c57,s26,0.020487;0.020139;0.020831;0.020327;0.020415;0.020281;0.020115;0.021033;0.019832;0.020592;0.020258;0.019751;0.019760;0.020349;0.020917;0.019823,----,0.355942;0.298017;0.839475;0.598834;0.384776;0.414666;0.374607;0.389040;0.152688;0.567722;0.438779;0.173102;0.496143;0.635327;1.000000;0.000000
c57,s27,0.022157;0.023094;0.022654;0.021866;0.022384;0.021943;0.021994;0.023381;0.023171;0.021788;0.022326;0.024156;0.023073;0.022460;0.021878;0.022126,----,0.353078;0.363399;0.488244;0.027206;0.260894;0.000000;0.082380;0.715355;0.357911;0.408677;0.227408;1.000000;0.561547;0.289994;0.120314;0.151891
c57,s28,0.017798;0.017663;0.017994;0.019184;0.018408;0.017603;0.018429;0.018612;0.016346;0.015349;0.016942;0.016735;0.017178;0.014912;0.015884;0.015138,----,0.699747;0.623504;0.893806;1.000000;0.744525;0.641397;0.829989;0.723680;0.340104;0.135785;0.483773;0.399573;0.561406;0.000000;0.313399;0.042573
c57,s29,0.029508;0.029248;0.028471;0.029608;0.028817;0.029404;0.029148;0.029347;0.029214;0.028377;0.029266;0.028457;0.028827;0.028004;0.030640;0.028286,----,0.805896;0.531277;0.330615;1.000000;0.447605;0.603441;0.634662;0.566776;0.572756;0.523808;0.510307;0.163332;0.480976;0.345106;0.856244;0.000000
c57,s3,0.020348;0.020066;0.020047;0.020593;0.020535;0.026265;0.021751;0.020294;0.020247;0.021024;0.020299;0.020788;0.020604;0.021121;0.020313;0.020257,----,0.230277;0.092983;0.330884;0.248501;0.127293;1.000000;0.404816;0.069454;0.143878;0.195404;0.000000;0.167685;0.159933;0.305327;0.191015;0.131039
c57,s30,0.007885;0.007864;0.008020;0.008763;0.008106;0.007964;0.008477;0.008619;0.008163;0.008027;0.007835;0.007859;0.008010;0.007757;0.008280;0.008071,----,0.480441;0.346491;0.483298;1.000000;0.612531;0.553011;0.600998;0.788932;0.331294;0.506325;0.187326;0.000000;0.527847;0.366501;0.734959;0.368880
c57,s31,0.026146;0.025727;0.025185;0.025725;0.025211;0.023410;0.026000;0.025139;0.026308;0.026407;0.025145;0.025886;0.024899;0.025186;0.025929;0.025683,----,1.000000;0.893902;0.799256;0.883906;0.654807;0.000000;0.962832;0.885629;0.725558;0.995772;0.679131;0.739802;0.549902;0.672676;0.797519;0.587776
c57,s32,0.015978;0.015521;0.016740;0.016724;0.015107;0.015144;0.014744;0.016441;0.015748;0.015855;0.016864;0.014872;0.015905;0.016285;0.016854;0.015410,----,0.364550;0.109930;0.674701;0.721675;0.000000;0.147291;0.117228;0.288325;0.384307;0.437537;0.905908;0.059236;0.289069;0.584122;1.000000;0.390883
c57,s33,0.030822;0.030940;0.031005;0.031440;0.030866;0.031128;0.031355;0.031117;0.032367;0.030299;0.031028;0.030606;0.031622;0.030245;0.031421;0.031307,----,0.244268;0.403296;0.448554;0.388920;0.867281;0.943651;0.818430;0.547373;0.920736;0.773842;0.787558;0.823725;0.661451;0.000000;1.000000;0.770237
c57,s34,0.028035;0.028141;0.027514;0.026615;0.027518;0.026737;0.027931;0.026746;0.027030;0.027296;0.027226;0.027103;0.029420;0.026953;0.026652;0.026151,----,0.702502;0.603568;0.662334;0.217645;0.449709;0.419792;0.542091;0.259708;0.423226;0.620527;0.493050;0.336625;1.000000;0.491191;0.484764;0.000000
c57,s35,0.027022;0.026518;0.027033;0.027336;0.026458;0.026353;0.026533;0.027314;0.026621;0.026783;0.027231;0.027380;0.026370;0.026854;0.025775;0.026596,----,0.308635;0.017506;0.463466;0.830496;0.000000;0.245383;0.304064;0.686137;0.364855;0.592743;0.380538;0.422568;0.194257;1.000000;0.093558;0.263044
c57,s36,0.021595;0.021662;0.021092;0.021653;0.021669;0.021599;0.021426;0.022422;0.021944;0.021372;0.023073;0.021575;0.021784;0.022205;0.020957;0.021970,----,0.589539;0.283001;0.000000;0.468486;0.376686;0.371337;0.280838;0.782134;0.334235;0.206713;1.000000;0.466980;0.435244;0.613102;0.069540;0.346428
c57,s37,0.031568;0.031806;0.030954;0.030246;0.030701;0.031296;0.031546;0.031320;0.032724;0.029533;0.031191;0.032632;0.031357;0.031970;0.033588;0.032390,----,0.691220;0.274722;0.274971;0.247640;0.261228;0.617982;0.599528;0.480713;0.499700;0.000000;0.322293;0.760367;0.246899;0.386701;1.000000;0.716083
c57,s38,0.028121;0.027875;0.028989;0.027973;0.028116;0.026360;0.027147;0.027951;0.027731;0.033459;0.025376;0.027942;0.028580;0.027973;0.027929;0.028150,----,0.396551;0.389799;0.504235;0.402972;0.405518;0.207005;0.315103;0.272972;0.529798;1.000000;0.000000;0.208984;0.516453;0.391694;0.355907;0.170242
c57,s39,0.022739;0.022501;0.022460;0.022002;0.022657;0.025382;0.024816;0.022773;0.022905;0.021689;0.021572;0.022987;0.023226;0.022785;0.023274;0.022541,----,0.322121;0.069855;0.204574;0.000000;0.257728;1.000000;0.620267;0.258748;0.469603;0.199319;0.146506;0.466138;0.396960;0.490400;0.767861;0.247494
c57,s4,0.018123;0.019053;0.018028;0.018001;0.020198;0.021325;0.020915;0.018434;0.017976;0.019337;0.020323;0.018018;0.018330;0.017574;0.018191;0.017766,----,0.349146;0.412167;0.205474;0.332527;0.679362;1.000000;0.848998;0.350600;0.095164;0.615813;0.587545;0.185254;0.307950;0.140671;0.228106;0.000000
c57,s40,0.015859;0.016116;0.016321;0.016771;0.016198;0.017399;0.016515;0.016277;0.015453;0.016226;0.016490;0.016101;0.016225;0.015554;0.015639;0.015666,----,0.149528;0.286446;0.797091;1.000000;0.000000;0.893666;0.414591;0.083144;0.093860;0.885863;0.570423;0.178466;0.436283;0.558690;0.407790;0.136461
c57,s41,0.019000;0.018053;0.018395;0.018705;0.018153;0.017890;0.018282;0.017887;0.018401;0.018599;0.018001;0.018643;0.018056;0.017785;0.018649;0.018127,----,0.875478;0.149014;0.573152;0.538819;0.640834;0.248673;0.677793;0.291402;0.191195;0.970810;0.092070;0.620472;0.035144;0.160822;1.000000;0.000000
c57,s42,0.025425;0.025895;0.026096;0.024841;0.025882;0.025124;0.025216;0.026375;0.025823;0.025665;0.025891;0.026681;0.026376;0.025426;0.025965;0.026130,----,0.264328;0.226643;0.073526;0.000000;0.353984;0.071166;0.176930;0.865609;0.702896;1.000000;0.743132;0.845145;0.955120;0.626698;0.479010;0.642579
c57,s43,0.018125;0.017702;0.016895;0.016997;0.018089;0.017641;0.016769;0.017183;0.017162;0.016854;0.017365;0.016749;0.017540;0.016899;0.016838;0.016641,----,1.000000;0.508509;0.260402;0.385355;0.767504;0.620182;0.251064;0.354580;0.472944;0.141783;0.287449;0.033733;0.692559;0.157773;0.360052;0.000000
c57,s44,0.036213;0.033959;0.033806;0.035050;0.035892;0.037165;0.035391;0.035154;0.033622;0.034913;0.035663;0.035255;0.036936;0.033632;0.033750;0.037552,----,0.568728;0.043225;0.017661;0.254313;0.390816;1.000000;0.298114;0.331523;0.000000;0.579160;0.534558;0.336201;0.989436;0.049686;0.034437;0.982505
