Content_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.054719,0.054680,0.056102,0.482431,0.474789,0.798236
2,0.092762,0.092836,0.093826,0.434588,0.475082,0.672001
3,0.050965,0.050912,0.052117,0.533693,0.538813,0.842151
4,0.060482,0.060407,0.061643,0.496900,0.500400,0.809185
5,0.048120,0.048094,0.049131,0.572337,0.602366,0.852907
6,0.054928,0.054884,0.056228,0.499977,0.499275,0.811883
7,0.066986,0.067011,0.068120,0.510038,0.513542,0.833938
8,0.063368,0.063403,0.064471,0.489860,0.491006,0.833143
9,0.066552,0.066456,0.067836,0.504773,0.516974,0.809517
10,0.061880,0.061804,0.063130,0.494862,0.496164,0.802869
11,0.051325,0.051310,0.052441,0.526439,0.524010,0.857811
12,0.058384,0.058287,0.059547,0.492794,0.490398,0.811386
13,0.081823,0.081775,0.083199,0.548266,0.566061,0.844468
14,0.065183,0.065166,0.066335,0.481364,0.473712,0.817364
15,0.066782,0.066725,0.068244,0.553779,0.579487,0.858774
16,0.044623,0.044578,0.045556,0.503013,0.500838,0.828331
17,0.094255,0.094200,0.095790,0.503094,0.510585,0.812859
18,0.062658,0.062603,0.063810,0.507172,0.502971,0.845144
19,0.077466,0.077385,0.079073,0.477113,0.462967,0.809619
20,0.053756,0.053710,0.054833,0.494454,0.490148,0.817256
21,0.081983,0.081976,0.083599,0.510930,0.519742,0.843789
22,0.057347,0.057226,0.058404,0.525974,0.528663,0.821522
23,0.052696,0.052631,0.053966,0.502207,0.504292,0.834187
24,0.052728,0.052683,0.053987,0.487831,0.470643,0.814675
25,0.050986,0.050883,0.052020,0.524545,0.540399,0.849580
26,0.058501,0.058448,0.059644,0.499372,0.497661,0.825549
27,0.054867,0.054776,0.056080,0.498286,0.501844,0.813276
28,0.080639,0.080682,0.082108,0.525354,0.547635,0.832286
29,0.051884,0.051881,0.053049,0.526896,0.542768,0.855832
30,0.048226,0.048190,0.049249,0.502666,0.505780,0.830433
31,0.065072,0.064946,0.066498,0.483758,0.479510,0.816803
32,0.060213,0.060187,0.061321,0.503138,0.502911,0.840068
33,0.058123,0.058060,0.059296,0.537521,0.548958,0.853560
34,0.052705,0.052649,0.053747,0.508267,0.507432,0.826664
35,0.068315,0.068230,0.069526,0.488459,0.482536,0.816621
36,0.058548,0.058515,0.059649,0.502064,0.503995,0.809543
37,0.057937,0.057870,0.059101,0.596600,0.613548,0.862782
38,0.046254,0.046223,0.047593,0.505551,0.513551,0.828571
39,0.073368,0.073365,0.074785,0.528295,0.538757,0.859267
40,0.069486,0.069472,0.070878,0.510126,0.516919,0.840561
41,0.062036,0.061976,0.063310,0.506762,0.508887,0.818068
42,0.075844,0.075807,0.077343,0.519251,0.508641,0.862360
43,0.069815,0.069734,0.071167,0.511982,0.513575,0.838549
44,0.050088,0.050059,0.051271,0.524752,0.531694,0.847861
45,0.051890,0.051843,0.053024,0.493996,0.478675,0.825882
46,0.050317,0.050309,0.051313,0.507212,0.515114,0.826423
47,0.056964,0.056918,0.057995,0.524846,0.531904,0.850132
48,0.063107,0.063025,0.064330,0.509320,0.507130,0.838712
49,0.091191,0.091146,0.092785,0.495185,0.484947,0.833747
50,0.050023,0.050033,0.051203,0.523379,0.545714,0.840683
