content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
26,1,0.063154;0.067718;0.061743;0.064796,----,0.289373;1.000000;0.000000;0.209022
26,2,0.049308;0.048461;0.047899;0.048307,----,1.000000;0.000000;0.018021;0.317987
26,3,0.044873;0.044431;0.043288;0.042571,----,1.000000;0.498511;0.060291;0.000000
26,4,0.054220;0.051743;0.048177;0.049325,----,1.000000;0.000000;0.597639;0.642201
26,5,0.058944;0.058261;0.054983;0.055392,----,0.981773;1.000000;0.381485;0.000000
26,6,0.055163;0.053218;0.052443;0.054948,----,0.889123;0.000000;0.202654;1.000000
26,7,0.087154;0.085689;0.081689;0.079471,----,0.902019;1.000000;0.569887;0.000000
26,8,0.046723;0.049210;0.048731;0.050131,----,0.000000;1.000000;0.474514;0.915870
26,9,0.041630;0.040976;0.041111;0.042201,----,0.230714;0.000000;0.415640;1.000000
26,10,0.066226;0.065799;0.065977;0.063734,----,0.848037;0.558553;1.000000;0.000000
26,11,0.044489;0.045810;0.044795;0.044533,----,0.000000;0.363740;0.687431;1.000000
26,12,0.058819;0.056123;0.056417;0.056985,----,1.000000;0.000000;0.444031;0.338746
26,13,0.071621;0.065073;0.066502;0.066135,----,1.000000;0.233750;0.000000;0.065727
26,14,0.047429;0.047189;0.047802;0.045139,----,0.539315;0.772879;1.000000;0.000000
26,15,0.084432;0.087810;0.092727;0.089715,----,0.000000;0.453729;1.000000;0.350535
26,16,0.133924;0.138608;0.135732;0.141975,----,0.550538;1.000000;0.000000;0.992286
26,17,0.054321;0.053176;0.049625;0.050429,----,1.000000;0.290857;0.000000;0.448439
26,18,0.056821;0.056619;0.055880;0.062406,----,0.000000;0.061302;0.442291;1.000000
26,19,0.063661;0.066234;0.062327;0.065192,----,0.184661;0.577149;0.000000;1.000000
26,20,0.044477;0.043677;0.049818;0.042086,----,0.298180;0.224652;1.000000;0.000000
26,21,0.067910;0.065817;0.061666;0.059679,----,1.000000;0.540792;0.049546;0.000000
26,22,0.048145;0.044138;0.055209;0.049480,----,0.707739;0.000000;1.000000;0.575069
26,23,0.055353;0.057294;0.057374;0.051811,----,0.000000;0.641328;1.000000;0.144968
26,24,0.051130;0.053571;0.050668;0.049970,----,0.351823;1.000000;0.026663;0.000000
26,25,0.055764;0.057755;0.058871;0.055365,----,0.396661;0.701441;1.000000;0.000000
26,26,0.065513;0.062082;0.061012;0.063157,----,1.000000;0.308499;0.000000;0.183962
26,27,0.042403;0.046487;0.043529;0.043518,----,0.000000;0.960717;0.447172;1.000000
26,28,0.056525;0.051285;0.048199;0.050536,----,1.000000;0.000000;0.051128;0.191408
26,29,0.053720;0.050652;0.063820;0.059227,----,0.299912;0.000000;1.000000;0.799802
26,30,0.056189;0.056937;0.065901;0.070366,----,0.178202;0.000000;0.691056;1.000000
26,31,0.060758;0.060489;0.058438;0.059382,----,0.858210;1.000000;0.617791;0.000000
26,32,0.046084;0.048803;0.044672;0.043295,----,0.814882;1.000000;0.420953;0.000000
26,33,0.056746;0.055485;0.059832;0.058598,----,0.000000;0.386515;1.000000;0.801339
26,34,0.043730;0.042228;0.042735;0.042037,----,0.562360;0.000000;1.000000;0.176039
26,35,0.060752;0.060386;0.062079;0.064419,----,0.000000;0.284784;0.242780;1.000000
26,36,0.056962;0.059136;0.057322;0.057082,----,0.000000;1.000000;0.870131;0.280226
26,37,0.046475;0.048840;0.044230;0.047767,----,0.158427;0.000000;0.303750;1.000000
26,38,0.079545;0.073743;0.092880;0.071300,----,0.659320;0.060557;1.000000;0.000000
26,39,0.048010;0.046896;0.047530;0.050482,----,0.622093;0.000000;0.273765;1.000000
26,40,0.057491;0.058875;0.073576;0.069024,----,0.102798;0.000000;1.000000;0.712534
26,41,0.060124;0.058532;0.058495;0.058871,----,1.000000;0.000000;0.279236;0.873631
26,42,0.058396;0.059098;0.055431;0.055286,----,1.000000;0.974808;0.244931;0.000000
26,43,0.047827;0.050044;0.049148;0.049347,----,0.000000;0.185244;0.452244;1.000000
26,44,0.075884;0.078100;0.075244;0.076645,----,0.601553;1.000000;0.000000;0.839022
26,45,0.040022;0.040697;0.043028;0.040688,----,1.000000;0.345800;0.975353;0.000000
26,46,0.059680;0.056527;0.056374;0.058326,----,1.000000;0.000000;0.203102;0.664765
26,47,0.068911;0.070960;0.063818;0.068212,----,0.543739;0.747468;0.000000;1.000000
26,48,0.062540;0.066956;0.064232;0.065542,----,0.000000;1.000000;0.418909;0.387820
26,49,0.063278;0.067446;0.065182;0.069260,----,0.000000;0.432486;0.385946;1.000000
26,50,0.055530;0.055506;0.055229;0.055656,----,1.000000;0.000000;0.393051;0.796782
