content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
1,1,0.044007;0.044027;0.044845;0.044617;0.043284;0.043696;0.045117;0.044174;0.043504;0.044867;0.044337;0.042930;0.043370;0.044887;0.044771;0.044515;0.045316;0.044483;0.043348;0.043434;0.044622;0.045120;0.044719;0.044980;0.044843;0.043985;0.043966;0.045329;0.044297;0.043981;0.044236;0.044647;0.043979;0.044140;0.045074;0.043637;0.043298;0.044407;0.044597;0.043697;0.043765;0.044714;0.044176;0.044024;0.045006;0.044869;0.044064;0.045546;0.045306,----,0.070882;0.704789;0.854782;1.000000;0.259018;0.397549;0.491473;0.065188;0.000000;0.526711;0.556228;0.140779;0.432966;0.486855;0.436355;0.337180;0.716423;0.807584;0.288438;0.522570;0.608041;0.450019;0.192701;0.798048;0.830003;0.562644;0.301059;0.487545;0.488413;0.360966;0.498113;0.844960;0.721256;0.508982;0.472053;0.139390;0.058554;0.306776;0.560978;0.170104;0.328863;0.480205;0.109255;0.122259;0.325250;0.729229;0.218029;0.494042;0.410763
1,2,0.054019;0.052638;0.053308;0.054704;0.055102;0.053705;0.054841;0.054236;0.053407;0.053880;0.055007;0.055221;0.054637;0.054524;0.053488;0.053584;0.053729;0.055343;0.054571;0.054335;0.054122;0.053232;0.053047;0.053438;0.053809;0.053465;0.052834;0.054048;0.053825;0.053301;0.053985;0.053523;0.053704;0.053637;0.054938;0.053860;0.053747;0.054833;0.054642;0.054464;0.054781;0.056953;0.054206;0.053822;0.054204;0.055118;0.054354;0.054138;0.056405,----,0.504594;0.000000;0.199723;0.926622;1.000000;0.783834;0.676049;0.644337;0.495060;0.739302;0.972208;0.646217;0.716872;0.569029;0.818906;0.525776;0.516463;0.789312;0.326914;0.390385;0.253115;0.616271;0.460956;0.661644;0.512841;0.460861;0.531314;0.621902;0.870302;0.602386;0.763203;0.480383;0.626614;0.638140;0.739326;0.770299;0.713745;0.704807;0.498688;0.830935;0.990898;0.874287;0.918468;0.690095;0.558297;0.928923;0.685273;0.623593;0.681041
1,3,0.037215;0.037036;0.036853;0.037617;0.037592;0.037185;0.037580;0.037508;0.037148;0.037379;0.039615;0.038044;0.037509;0.037871;0.037710;0.037322;0.039476;0.042496;0.038778;0.037543;0.038114;0.037353;0.037508;0.040007;0.041392;0.039398;0.037271;0.037530;0.037700;0.038803;0.040528;0.040392;0.039620;0.038315;0.037208;0.037627;0.039860;0.040646;0.040712;0.041167;0.038860;0.036944;0.036951;0.038179;0.040400;0.040281;0.039003;0.037130;0.035613,----,0.270023;0.081869;0.124146;0.669645;0.576870;0.178272;0.372954;0.388463;0.256100;0.281473;0.784653;0.365906;0.094189;0.208509;0.332839;0.109217;0.400276;1.000000;0.333193;0.066075;0.221762;0.402707;0.178918;0.664372;0.761737;0.360474;0.019425;0.000000;0.410766;0.659449;0.619775;0.662504;0.613337;0.470418;0.257427;0.294816;0.498230;0.688392;0.811830;0.817873;0.652980;0.213479;0.317588;0.462924;0.850360;0.907154;0.710415;0.300534;0.096778
1,4,0.050014;0.049777;0.048376;0.049674;0.050464;0.050837;0.050690;0.049029;0.049341;0.048400;0.048717;0.049634;0.049129;0.049978;0.050191;0.049540;0.049292;0.049545;0.050333;0.049331;0.049656;0.050362;0.049941;0.049930;0.049613;0.050529;0.050556;0.049903;0.050098;0.050105;0.049616;0.048784;0.049432;0.050230;0.049945;0.049756;0.050266;0.050644;0.050323;0.050308;0.048874;0.049607;0.049955;0.050336;0.051522;0.051268;0.051310;0.049975;0.049909,----,0.440425;0.419009;0.000000;0.567676;0.587720;0.472981;0.574942;0.314728;0.285347;0.303517;0.429483;0.567509;0.162838;0.645687;0.441810;0.288568;0.541600;0.458984;0.468290;0.201881;0.297504;0.633317;0.254723;0.764782;0.576804;0.538411;0.441004;0.337840;0.545407;0.652938;0.604653;0.615023;0.531844;0.675193;0.518438;0.492770;0.341440;0.617160;0.724523;0.751939;0.474437;0.522687;0.672079;0.670501;0.783573;0.878140;1.000000;0.760811;0.549457
1,5,0.050603;0.050079;0.053046;0.052587;0.050262;0.049321;0.051021;0.050948;0.050428;0.051886;0.052140;0.049996;0.049973;0.050733;0.053530;0.052194;0.050190;0.049960;0.048743;0.048909;0.051476;0.052841;0.050837;0.049186;0.049958;0.050095;0.050866;0.052872;0.052816;0.052504;0.050982;0.050328;0.050360;0.051387;0.052511;0.053261;0.051749;0.052081;0.052599;0.050858;0.051042;0.052141;0.051077;0.050038;0.052727;0.052954;0.051477;0.051469;0.052382,----,0.538982;0.444228;0.659402;0.749585;0.233744;0.370935;0.560279;0.632407;0.467321;0.435862;0.686592;0.395746;0.426109;0.606877;0.928185;0.614580;0.267788;0.512826;0.000000;0.325185;0.791535;0.839137;0.431990;0.330614;0.589353;0.689786;0.721110;1.000000;0.810339;0.757347;0.678296;0.659913;0.591111;0.844114;0.753505;0.784855;0.597151;0.619255;0.889240;0.799626;0.719408;0.906260;0.678082;0.564507;0.995661;0.962876;0.882629;0.855638;0.769056
1,6,0.045806;0.045309;0.045294;0.045750;0.045626;0.045752;0.045705;0.046007;0.045470;0.045476;0.045512;0.045497;0.045863;0.045767;0.045815;0.045888;0.045324;0.044605;0.044996;0.046185;0.046179;0.045908;0.045456;0.044937;0.044187;0.044417;0.047164;0.047148;0.045767;0.045330;0.045349;0.045068;0.044856;0.046666;0.046843;0.046113;0.045685;0.045763;0.045595;0.045352;0.045783;0.045807;0.045287;0.045313;0.045387;0.045300;0.045489;0.045232;0.045235,----,0.582766;0.630334;0.605048;0.723193;0.805929;0.583674;0.468134;0.631215;0.448950;0.521558;0.765865;0.505668;0.318840;0.306980;0.681982;0.550247;0.495126;0.482633;0.000000;0.407064;0.445372;0.869721;0.625903;0.404246;0.184797;0.243887;0.662602;0.591972;0.751417;0.722476;0.460070;0.499755;0.539323;1.000000;0.786644;0.713374;0.576374;0.719870;0.677439;0.633400;0.722142;0.410309;0.721065;0.615299;0.661023;0.811770;0.721597;0.685301;0.468051
1,7,0.057891;0.056845;0.056045;0.056716;0.056661;0.056918;0.056777;0.057176;0.055237;0.054583;0.055386;0.055657;0.055564;0.055436;0.056537;0.055933;0.055536;0.056068;0.056659;0.056081;0.055414;0.056227;0.056936;0.056279;0.056593;0.056429;0.055943;0.055306;0.056579;0.057784;0.057210;0.056891;0.057155;0.056684;0.055614;0.057187;0.057913;0.057497;0.057452;0.057347;0.057369;0.056192;0.057996;0.059160;0.057953;0.057533;0.058255;0.057838;0.057581,----,1.000000;0.661957;0.298192;0.399206;0.684278;0.499605;0.189125;0.723440;0.365073;0.000000;0.230969;0.373158;0.320264;0.251962;0.462951;0.329940;0.183042;0.672468;0.511251;0.510217;0.220723;0.428338;0.639862;0.497654;0.543910;0.519179;0.244332;0.237142;0.450588;0.718853;0.626395;0.534516;0.603899;0.342031;0.358510;0.538779;0.596805;0.656432;0.607562;0.484025;0.442177;0.241962;0.760615;0.766034;0.592056;0.623133;0.657942;0.707615;0.677740
1,8,0.045399;0.046055;0.046399;0.044563;0.043204;0.042300;0.044090;0.045956;0.045456;0.044873;0.043560;0.042305;0.043006;0.043743;0.045506;0.043794;0.041919;0.042657;0.043355;0.045090;0.045337;0.044715;0.044105;0.043367;0.043822;0.045112;0.046787;0.047144;0.043987;0.042982;0.042482;0.042911;0.044317;0.043528;0.044221;0.044041;0.041517;0.040830;0.040823;0.042215;0.042697;0.044173;0.045183;0.043620;0.042567;0.042224;0.042872;0.044172;0.044969,----,0.803929;0.881724;0.726241;0.520348;0.400499;0.388855;0.673903;0.660972;0.631224;0.897655;0.575224;0.504372;0.545942;0.725133;0.797954;0.331956;0.123541;0.551947;0.448678;0.639746;0.780105;0.722864;0.443461;0.231057;0.309864;0.592882;0.718947;1.000000;0.823774;0.462716;0.227822;0.185561;0.478381;0.393421;0.631523;0.506480;0.143598;0.003525;0.000000;0.287525;0.265374;0.405067;0.779780;0.661213;0.600348;0.602601;0.694015;0.692904;0.691443
1,9,0.045851;0.042735;0.042911;0.043420;0.043661;0.043819;0.048366;0.044770;0.041825;0.042211;0.042647;0.042384;0.042783;0.048115;0.047075;0.043136;0.042921;0.043779;0.045201;0.046324;0.050884;0.046992;0.043063;0.044375;0.046932;0.048627;0.048526;0.053064;0.047111;0.044440;0.046513;0.050599;0.050005;0.048918;0.054083;0.048844;0.047142;0.049135;0.050720;0.047369;0.044384;0.049309;0.050042;0.047786;0.048854;0.049387;0.044901;0.042113;0.046888,----,0.436777;0.155427;0.130920;0.292364;0.187337;0.178736;0.634281;0.354167;0.058677;0.018242;0.000000;0.072023;0.152613;0.603836;0.456077;0.051929;0.114539;0.149241;0.421075;0.347809;0.731375;0.483630;0.076078;0.182949;0.359572;0.534730;0.562729;0.872532;0.435056;0.123345;0.254481;0.651120;0.839184;0.654907;1.000000;0.526170;0.379476;0.577663;0.715515;0.527169;0.255972;0.592739;0.755449;0.532666;0.596382;0.641087;0.311101;0.087644;0.439895
1,10,0.033362;0.032221;0.033772;0.034665;0.033634;0.033944;0.034832;0.034130;0.033318;0.033850;0.034443;0.034182;0.034641;0.035155;0.035010;0.034288;0.034501;0.034251;0.033620;0.034028;0.035258;0.035352;0.034416;0.034399;0.034402;0.033924;0.033769;0.034717;0.035599;0.035079;0.034571;0.034643;0.034841;0.034403;0.034820;0.036283;0.035743;0.034812;0.034684;0.035080;0.034639;0.035220;0.036060;0.035075;0.034569;0.034070;0.034752;0.034540;0.034938,----,0.121545;0.000000;0.317900;0.777718;0.663137;0.607851;0.548617;0.277250;0.277295;0.242902;0.501189;0.681060;0.588928;0.534930;0.464921;0.255510;0.666236;0.552216;0.420345;0.651656;0.910580;0.726805;0.622212;0.802597;0.622473;0.585836;0.239409;0.650887;0.907681;0.782803;0.730484;0.612635;0.734487;0.559453;0.745835;1.000000;0.988996;0.697827;0.531860;0.837757;0.678999;0.592265;0.975415;0.651323;0.452428;0.616900;0.667954;0.582868;0.719439
