content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
26,1,0.066844;0.067394;0.067309;0.066535;0.067394;0.068584;0.068455;0.065711;0.066088;0.066333;0.064364;0.066475;0.068337;0.068303;0.064994;0.065475;0.065992;0.064588;0.065661;0.066616;0.067914;0.066075;0.066487;0.067221;0.065332;0.065148;0.066022;0.066560;0.065856;0.067122;0.067005;0.064853;0.065904;0.066556;0.066546;0.065379;0.066703;0.066004;0.065013;0.066173;0.066428;0.066421;0.065044;0.066299;0.066405;0.065370;0.067021;0.067650;0.067718,----,0.770148;0.819222;0.787086;0.574607;0.773625;0.959771;0.834936;0.605333;0.564608;0.648086;0.417865;0.714404;0.862649;1.000000;0.371349;0.462292;0.343257;0.261470;0.379679;0.460816;0.690931;0.655076;0.847050;0.613617;0.448515;0.267872;0.385544;0.533388;0.554419;0.679202;0.578555;0.235657;0.461540;0.431352;0.595899;0.480177;0.552012;0.520417;0.219084;0.288648;0.000000;0.292169;0.258499;0.373017;0.393785;0.246490;0.292391;0.250097;0.607228
26,2,0.047882;0.048810;0.047873;0.046617;0.047496;0.047982;0.047727;0.047806;0.048387;0.048311;0.047579;0.047990;0.048673;0.047818;0.047688;0.047907;0.048748;0.048351;0.048048;0.048646;0.048102;0.047012;0.047545;0.047950;0.048121;0.048208;0.048209;0.047626;0.047942;0.048237;0.048481;0.048019;0.048500;0.048269;0.047457;0.048231;0.048249;0.048263;0.047695;0.047838;0.048325;0.048755;0.047432;0.047330;0.047127;0.047016;0.047245;0.047242;0.049105,----,0.770535;0.719285;0.441999;0.000000;0.327366;0.702065;0.608528;0.982847;0.824456;0.356117;0.194797;0.581362;0.753523;0.785464;0.910972;0.803010;0.771191;0.660014;0.789044;0.746000;1.000000;0.847692;0.789645;0.637422;0.941977;0.794002;0.880816;0.891174;0.984509;0.782681;0.864676;0.733076;0.983138;0.659107;0.746380;0.792087;0.747351;0.828403;0.802632;0.663607;0.711212;0.935366;0.493282;0.461048;0.578894;0.576087;0.560268;0.551055;0.801979
26,3,0.041721;0.041892;0.042285;0.042128;0.042438;0.042238;0.042005;0.041921;0.042265;0.042463;0.042444;0.042713;0.042380;0.041847;0.041782;0.042557;0.043228;0.044341;0.043250;0.042388;0.041577;0.041936;0.042909;0.045000;0.045918;0.044004;0.042819;0.041561;0.042146;0.042672;0.042570;0.042884;0.042718;0.042555;0.041785;0.042194;0.042598;0.041704;0.041811;0.042226;0.042560;0.041871;0.041877;0.042528;0.041516;0.041712;0.041796;0.042524;0.042049,----,0.332895;0.480680;0.652740;0.220159;0.793070;0.451861;0.729170;0.323108;0.416112;0.747758;0.451775;0.459643;0.648492;0.860569;0.471148;0.596790;1.000000;0.858532;0.521363;0.506588;0.467651;0.860782;0.594562;0.852418;0.799619;0.392474;0.778716;0.581516;0.688502;0.532068;0.856522;0.821688;0.445433;0.392823;0.489222;0.524175;0.591090;0.574298;0.336734;0.123125;0.012056;0.199867;0.196159;0.359452;0.119792;0.162992;0.068826;0.000000;0.303383
26,4,0.048826;0.049276;0.049229;0.049632;0.049594;0.049262;0.048221;0.049031;0.050706;0.050789;0.050945;0.051046;0.049993;0.048921;0.050579;0.052028;0.051445;0.050824;0.051869;0.050733;0.049689;0.049732;0.050875;0.051138;0.051490;0.052270;0.051544;0.049728;0.048749;0.049716;0.050417;0.051795;0.051622;0.050871;0.049032;0.048180;0.048794;0.049768;0.050108;0.049493;0.048671;0.048195;0.048350;0.048691;0.049831;0.049632;0.049097;0.048042;0.048152,----,0.470410;0.287121;0.367744;0.040918;0.233530;0.292796;0.313634;0.804160;0.949192;0.541309;0.000000;0.341757;0.529070;0.375319;0.993697;1.000000;0.667020;0.194045;0.325710;0.697725;0.585245;0.820297;0.968569;0.465247;0.665481;0.527878;0.844883;0.561136;0.639416;0.701051;0.810548;0.995074;0.988281;0.671881;0.304469;0.377090;0.232061;0.671363;0.751749;0.537790;0.402850;0.368276;0.294927;0.157982;0.561163;0.501284;0.552197;0.299846;0.327940
26,5,0.058250;0.058395;0.058260;0.057813;0.057406;0.057909;0.057220;0.057687;0.058318;0.058213;0.057197;0.057454;0.057864;0.056993;0.057127;0.057892;0.058229;0.057826;0.057310;0.057034;0.056467;0.056454;0.057563;0.058755;0.058253;0.057681;0.056651;0.056155;0.056388;0.057144;0.057586;0.057519;0.057705;0.057098;0.056342;0.055880;0.056938;0.057959;0.057724;0.057944;0.057658;0.056858;0.056118;0.057164;0.058242;0.058025;0.057342;0.057732;0.057345,----,0.572910;0.695285;1.000000;0.582645;0.256689;0.741307;0.548825;0.531007;0.940379;0.949288;0.230253;0.000000;0.525864;0.404370;0.346578;0.638472;0.731071;0.595970;0.512305;0.441254;0.313882;0.314858;0.608314;0.762919;0.669161;0.634751;0.218323;0.332310;0.356930;0.361553;0.437189;0.557378;0.640002;0.229741;0.194995;0.261842;0.543328;0.614817;0.359820;0.468435;0.282059;0.511644;0.394216;0.514489;0.553296;0.518555;0.351882;0.249356;0.321200
26,6,0.053149;0.053002;0.052714;0.052708;0.052390;0.052262;0.052328;0.052743;0.051916;0.051911;0.052190;0.051477;0.051550;0.052057;0.051843;0.051648;0.053097;0.053654;0.052342;0.050919;0.051129;0.052208;0.051919;0.052828;0.053931;0.053660;0.051651;0.051297;0.052318;0.051703;0.050955;0.052977;0.052770;0.051978;0.051681;0.052829;0.051621;0.051000;0.052127;0.052306;0.051877;0.051522;0.052757;0.052472;0.051952;0.052599;0.053562;0.053513;0.052813,----,0.598295;0.302067;0.421046;0.122978;0.233156;0.647196;0.531318;0.735039;0.533883;0.795470;0.645609;0.200775;0.476347;0.446783;0.516597;0.337094;0.724425;0.348124;0.340272;0.000000;0.283552;0.637718;0.553691;0.817511;0.836964;0.395752;0.295579;0.167467;0.771756;0.565651;0.475448;0.903584;0.968069;0.408556;0.269860;0.705442;0.415120;0.414795;0.675113;0.607050;0.355902;0.264534;0.553125;0.615659;0.473855;0.601809;0.881497;1.000000;0.697217
26,7,0.088050;0.087886;0.087597;0.087531;0.087560;0.087787;0.086103;0.085846;0.085910;0.086151;0.085465;0.085438;0.085677;0.084411;0.084402;0.085496;0.085752;0.085938;0.085597;0.085215;0.083894;0.083883;0.085402;0.085544;0.085985;0.085088;0.084399;0.083395;0.084076;0.085871;0.084968;0.085214;0.085456;0.084565;0.083522;0.084470;0.086011;0.084440;0.084841;0.085299;0.084803;0.083896;0.085765;0.088311;0.086824;0.086918;0.086531;0.084705;0.084612,----,0.994527;0.722342;0.719651;0.784883;0.621261;0.694470;0.675111;0.671015;0.405351;0.630821;0.401917;0.441604;0.471190;0.519080;0.449510;0.444717;0.736663;0.477265;0.666543;0.458546;0.475854;0.374273;0.323842;0.525519;0.599163;0.078844;0.029180;0.233578;0.410733;0.510620;0.444751;0.399800;0.024565;0.222906;0.091941;0.523983;0.491492;0.373341;0.194379;0.167508;0.209245;0.000000;0.728009;1.000000;0.728647;0.672024;0.598454;0.184404;0.371790
26,8,0.049457;0.049554;0.049475;0.049143;0.048828;0.049299;0.049619;0.049527;0.048948;0.049041;0.048916;0.049208;0.050129;0.049906;0.049513;0.048601;0.048657;0.049080;0.050766;0.050695;0.050437;0.049198;0.049023;0.049618;0.049934;0.050792;0.050470;0.050682;0.048888;0.048858;0.049213;0.049894;0.050916;0.049844;0.049511;0.049093;0.048829;0.049670;0.050189;0.050249;0.049602;0.049482;0.050238;0.049779;0.049870;0.049781;0.049876;0.049751;0.050023,----,0.416679;0.385554;0.479594;0.176502;0.304105;0.307884;0.600811;0.501953;0.235395;0.253229;0.119936;0.574443;0.558999;0.536934;0.528890;0.211207;0.000000;0.276804;0.818281;0.483382;0.810526;0.416867;0.416546;0.509682;0.545467;0.510348;0.633849;0.748669;0.439741;0.351613;0.523275;0.579377;1.000000;0.629880;0.424632;0.245219;0.448602;0.408827;0.632731;0.459063;0.433614;0.361540;0.388468;0.440130;0.469835;0.486546;0.478513;0.296228;0.503924
26,9,0.038147;0.038145;0.038100;0.038352;0.038329;0.037937;0.037966;0.038222;0.038537;0.038373;0.038288;0.038485;0.038224;0.037913;0.037967;0.038034;0.038221;0.038266;0.038486;0.038528;0.038228;0.037805;0.037877;0.038022;0.038307;0.038486;0.038671;0.038456;0.037938;0.038142;0.038129;0.038583;0.038437;0.037965;0.038263;0.037932;0.038148;0.038187;0.038626;0.038445;0.038295;0.038085;0.038084;0.038097;0.038484;0.038890;0.039051;0.038861;0.038663,----,0.654558;0.338456;0.454374;0.419792;0.565712;0.393549;0.479127;0.644998;0.856436;0.367976;0.000000;0.153531;0.620452;0.686373;0.686858;0.676785;0.591691;0.444143;0.337961;0.766740;0.736954;0.500987;0.394678;0.446968;0.323675;0.128890;0.861016;1.000000;0.573866;0.574571;0.655486;0.645748;0.790710;0.686829;0.765028;0.501632;0.509407;0.770202;0.647252;0.614568;0.350230;0.662635;0.630051;0.557674;0.789282;0.862128;0.883265;0.908505;0.953072
26,10,0.070893;0.070662;0.070474;0.070423;0.070879;0.070983;0.070716;0.071156;0.071635;0.070852;0.070772;0.071552;0.071389;0.070591;0.071617;0.071491;0.071010;0.070657;0.070900;0.071323;0.070933;0.071239;0.070628;0.071133;0.070880;0.070426;0.071308;0.071162;0.072272;0.071380;0.070438;0.070851;0.070769;0.070891;0.070876;0.072513;0.071546;0.070104;0.070209;0.069911;0.070496;0.070744;0.072619;0.070466;0.069786;0.070047;0.069987;0.070093;0.070587,----,0.694668;0.612604;0.576420;0.304396;0.172960;0.362374;0.494752;0.900467;0.687058;0.766714;0.644746;0.514619;0.260101;0.794148;0.744290;0.440867;0.494555;0.497122;0.344263;0.773972;0.640242;0.988317;0.762579;0.844378;0.543973;0.329677;0.670979;0.644194;1.000000;0.795159;0.702898;0.435771;0.487965;0.239113;0.647315;0.944936;0.617309;0.827892;0.310440;0.070842;0.086959;0.583354;0.895038;0.337195;0.233483;0.025130;0.000000;0.097775;0.365398
