content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
18,1,0.062921;0.063122;0.063652;0.063876;0.061161;0.061858;0.061594;0.062996;0.061954;0.062291;0.061492;0.062854;0.061980;0.060957;0.063314;0.064765,----,0.999615;0.838062;0.937477;1.000000;0.209534;0.000000;0.227705;0.194514;0.728269;0.438510;0.132792;0.319008;0.600390;0.324437;0.666647;0.669425
18,2,0.056357;0.056665;0.057768;0.056835;0.055814;0.056506;0.056987;0.056421;0.056351;0.056793;0.056903;0.056103;0.055793;0.056285;0.056877;0.057399,----,0.469324;0.443173;0.687413;0.535327;0.000000;0.224970;0.450424;0.750022;0.370037;1.000000;0.936800;0.353042;0.242917;0.589425;0.784111;0.447053
18,3,0.046971;0.047544;0.047715;0.047654;0.047262;0.047804;0.047460;0.047220;0.047396;0.047923;0.048723;0.046380;0.047354;0.047109;0.047900;0.047225,----,0.198422;0.307119;0.411425;0.625349;0.322213;0.000000;0.135763;0.661002;0.087766;0.409215;0.665398;0.315078;0.788151;0.599113;1.000000;0.499227
18,4,0.050522;0.050329;0.051015;0.050578;0.050099;0.050402;0.051347;0.049609;0.050892;0.050382;0.050545;0.050395;0.050655;0.051654;0.051223;0.050461,----,0.666312;0.241821;0.407070;0.552410;0.312975;0.327792;0.000000;0.531312;1.000000;0.410970;0.143354;0.631343;0.476927;0.926948;0.909695;0.304897
18,5,0.083792;0.083598;0.082339;0.082784;0.083701;0.083686;0.082287;0.081637;0.081206;0.082914;0.083413;0.080512;0.081936;0.083322;0.083117;0.082845,----,0.785045;0.891223;0.712879;0.826370;1.000000;0.826595;0.413133;0.162361;0.550723;0.329926;0.518254;0.000000;0.907224;0.547361;0.539801;0.807459
18,6,0.059735;0.060672;0.058936;0.059828;0.059350;0.059595;0.059790;0.059165;0.059534;0.060641;0.061199;0.060809;0.060870;0.060966;0.061621;0.060431,----,0.640229;0.803806;0.311602;0.626062;0.613345;0.560358;0.402611;0.219656;0.426219;0.235754;0.902928;0.297020;0.253603;0.583600;1.000000;0.000000
18,7,0.108773;0.108262;0.108643;0.106574;0.108918;0.110225;0.110552;0.108111;0.109001;0.110456;0.109145;0.107352;0.106603;0.108515;0.107458;0.106024,----,0.939856;0.060792;0.224266;0.242286;0.859140;1.000000;0.721623;0.256001;0.720232;0.864137;0.784680;0.141109;0.257623;0.370312;0.363039;0.000000
18,8,0.084539;0.085217;0.083756;0.083868;0.084343;0.083518;0.084130;0.084940;0.083419;0.081133;0.081779;0.082953;0.083454;0.081554;0.081064;0.082228,----,0.859911;1.000000;0.464769;0.569167;0.264896;0.109742;0.357063;0.820397;0.734909;0.007327;0.053110;0.795883;0.660831;0.000000;0.195896;0.392149
18,9,0.048956;0.048538;0.048459;0.049070;0.048739;0.048047;0.049005;0.049899;0.048393;0.048594;0.049822;0.050873;0.048936;0.048941;0.048375;0.047642,----,0.603707;0.614298;0.425787;0.297722;0.325161;0.000000;0.022926;0.662814;0.192598;0.537479;0.561526;0.943718;1.000000;0.710906;0.549834;0.376560
18,10,0.063091;0.063648;0.062816;0.063076;0.062325;0.062095;0.061625;0.062055;0.062976;0.062503;0.062445;0.062592;0.063615;0.062448;0.062607;0.062994,----,1.000000;0.944674;0.604073;0.844678;0.506201;0.071658;0.220194;0.000000;0.608126;0.656322;0.430740;0.508228;0.928556;0.846925;0.871664;0.865840
18,11,0.088245;0.088352;0.089168;0.088752;0.088227;0.089204;0.090329;0.089884;0.089009;0.088452;0.088983;0.087625;0.091050;0.090315;0.090474;0.088876,----,0.215225;0.110036;0.589310;0.000000;0.586344;0.578022;0.623404;0.682896;0.671205;0.654019;0.737720;0.013250;0.776609;0.965415;1.000000;0.450365
18,12,0.089938;0.089332;0.088684;0.087640;0.088703;0.088724;0.089657;0.088221;0.088195;0.087557;0.088565;0.088500;0.089123;0.088833;0.088140;0.088273,----,0.976381;0.676445;0.965782;0.449342;1.000000;0.592769;0.617862;0.386301;0.747801;0.000000;0.268631;0.494175;0.895534;0.402585;0.289700;0.364943
18,13,0.066974;0.067472;0.067600;0.067429;0.066504;0.066627;0.066916;0.066661;0.066803;0.065826;0.065921;0.065703;0.066980;0.065566;0.066947;0.065932,----,0.855719;0.918854;0.646881;0.925319;0.357113;0.489466;0.487980;0.212312;0.744558;0.105038;0.735009;0.000000;0.707504;0.579893;1.000000;0.094670
18,14,0.064968;0.065272;0.066471;0.064147;0.064813;0.065236;0.066007;0.064413;0.064567;0.063889;0.063939;0.064089;0.064333;0.065251;0.065056;0.064347,----,0.707776;0.739359;1.000000;0.052356;0.540975;0.273029;0.381179;0.521588;0.000000;0.039886;0.002557;0.310568;0.190683;0.391084;0.785013;0.408629
18,15,0.087284;0.089496;0.089584;0.089848;0.087656;0.090437;0.089755;0.090369;0.089400;0.090966;0.089787;0.089692;0.091368;0.093779;0.092553;0.091834,----,0.216647;0.207724;0.456062;0.740186;0.000000;0.254183;0.234340;0.441641;0.721142;0.523456;0.166723;0.077991;0.809118;1.000000;0.918649;0.542183
18,16,0.115887;0.116708;0.115734;0.118897;0.116128;0.116241;0.116214;0.116226;0.116215;0.115940;0.117129;0.115854;0.115656;0.117241;0.116335;0.117637,----,0.339166;0.702666;0.895833;0.839319;0.763539;1.000000;0.208339;0.581811;0.000000;0.312196;0.709849;0.495228;0.254606;0.854795;0.711699;0.919316
18,17,0.038788;0.039835;0.039287;0.038928;0.039432;0.040047;0.039765;0.038373;0.037811;0.038643;0.038556;0.037406;0.038561;0.038681;0.038831;0.038605,----,0.712406;0.816346;0.624935;0.394816;0.774999;0.873727;0.000000;0.376955;0.444338;1.000000;0.885443;0.363043;0.489381;0.732458;0.820495;0.567119
18,18,0.036567;0.037841;0.038053;0.037914;0.037483;0.039065;0.039324;0.037971;0.037904;0.038474;0.038142;0.038182;0.038187;0.039270;0.038708;0.038211,----,0.478636;0.594237;0.777871;0.678496;0.504321;0.792748;0.663196;0.508045;0.759314;0.818698;0.763701;0.000000;0.754040;1.000000;0.712950;0.416674
